t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor
216662.0048,0,1512.00,982.00,1512.00,982.00,,0,25.86,151.42,1,fingertip
216662.0381,0,1512.00,982.00,1512.00,982.00,,0,15.76,141.96,1,fingertip
216662.0715,0,1512.00,982.00,1512.00,982.00,,0,19.05,145.34,1,fingertip
216662.1048,0,1512.00,982.00,1512.00,982.00,,0,12.17,137.28,1,fingertip
216662.1382,0,1512.00,982.00,1512.00,982.00,,0,14.02,142.90,1,fingertip
216662.1715,0,1512.00,982.00,1512.00,982.00,,0,15.54,141.11,1,fingertip
216662.2049,0,1512.00,982.00,1512.00,982.00,,0,15.48,142.88,1,fingertip
216662.2382,0,1512.00,982.00,1512.00,982.00,,0,14.93,140.89,1,fingertip
216662.2716,0,1512.00,982.00,1512.00,982.00,,0,17.12,143.69,1,fingertip
216662.3049,0,1512.00,982.00,1512.00,982.00,,0,16.57,144.59,1,fingertip
216662.3383,0,1512.00,982.00,1512.00,982.00,,0,16.78,142.01,1,fingertip
216662.3716,0,1512.00,982.00,1512.00,982.00,,0,14.57,141.36,1,fingertip
216662.4050,0,1512.00,982.00,1512.00,982.00,,0,19.90,147.09,1,fingertip
216662.4383,0,1512.00,982.00,1512.00,982.00,,0,13.34,137.57,1,fingertip
216662.4717,0,1512.00,982.00,1512.00,982.00,,0,20.09,148.09,1,fingertip
216662.5050,0,1512.00,982.00,1512.00,982.00,,0,18.49,142.07,1,fingertip
216662.5384,0,1512.00,982.00,1512.00,982.00,,0,20.14,145.13,1,fingertip
216662.5717,0,1512.00,982.00,1512.00,982.00,,0,18.62,141.98,1,fingertip
216662.6051,0,1512.00,982.00,1512.00,982.00,,0,17.31,145.05,1,fingertip
216662.6384,0,1512.00,982.00,1512.00,982.00,,0,22.15,146.79,1,fingertip
216662.6718,0,1512.00,982.00,1512.00,982.00,,0,14.14,141.72,1,fingertip
216662.7051,0,1512.00,982.00,1512.00,982.00,,0,20.52,145.75,1,fingertip
216662.7385,0,1512.00,982.00,1512.00,982.00,,0,15.34,144.03,1,fingertip
216662.7718,0,1512.00,982.00,1512.00,982.00,,0,18.82,145.06,1,fingertip
216662.8052,0,1512.00,982.00,1512.00,982.00,,0,12.53,142.22,1,fingertip
216662.8385,0,1512.00,982.00,1512.00,982.00,,0,21.50,149.97,1,fingertip
216662.8719,0,1512.00,982.00,1512.00,982.00,,0,14.42,146.75,1,fingertip
216662.9052,0,1512.00,982.00,1512.00,982.00,,0,18.73,146.64,1,fingertip
216662.9386,0,1512.00,982.00,1512.00,982.00,,0,15.10,146.80,1,fingertip
216662.9719,0,1512.00,982.00,1512.00,982.00,,0,22.16,151.23,1,fingertip
216663.0053,0,1512.00,982.00,1512.00,982.00,,0,13.36,147.97,1,fingertip
216663.0386,0,1512.00,982.00,1512.00,982.00,,0,10.24,141.33,1,fingertip
216663.0720,0,1512.00,982.00,1512.00,982.00,,0,14.60,149.51,1,fingertip
216663.1053,0,1512.00,982.00,1512.00,982.00,,0,13.42,146.10,1,fingertip
