t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor,mode,cam_x,cam_y,sensitivity
218113.2484,0,756.00,491.00,756.00,491.00,,0,41.90,151.78,1,palm,direct,-1.0000,-1.0000,high
218113.2817,0,756.00,491.00,756.00,491.00,,0,52.26,171.10,1,palm,direct,-1.0000,-1.0000,high
218113.3151,0,756.00,491.00,756.00,491.00,,0,13.73,151.87,1,palm,direct,-1.0000,-1.0000,high
218113.3818,0,756.00,491.00,756.00,491.00,,0,9.65,112.62,1,palm,direct,-1.0000,-1.0000,high
218113.4151,0,756.00,491.00,756.00,491.00,,0,16.51,120.52,1,palm,direct,-1.0000,-1.0000,high
218113.4485,0,756.00,491.00,756.00,491.00,,0,13.87,112.81,1,palm,direct,-1.0000,-1.0000,high
218113.4818,0,756.00,491.00,756.00,491.00,,0,8.66,106.91,1,palm,direct,-1.0000,-1.0000,high
218113.5152,0,756.00,491.00,756.00,491.00,,0,8.91,110.90,1,palm,direct,-1.0000,-1.0000,high
218113.5485,0,756.00,491.00,756.00,491.00,,0,24.17,120.24,1,palm,direct,-1.0000,-1.0000,high
218113.5819,0,756.00,491.00,756.00,491.00,,0,40.45,138.67,1,palm,direct,-1.0000,-1.0000,high
218113.6152,0,756.00,491.00,756.00,491.00,,0,12.24,117.81,1,palm,direct,-1.0000,-1.0000,high
218113.6486,0,756.00,491.00,756.00,491.00,,0,13.24,114.01,1,palm,direct,-1.0000,-1.0000,high
218113.6819,0,756.00,491.00,756.00,491.00,,0,16.84,112.56,1,palm,direct,-1.0000,-1.0000,high
218113.7153,0,756.00,491.00,756.00,491.00,,0,9.77,108.89,1,palm,direct,-1.0000,-1.0000,high
218113.7486,0,756.00,491.00,756.00,491.00,,0,21.35,115.52,1,palm,direct,-1.0000,-1.0000,high
218113.7820,0,756.00,491.00,756.00,491.00,,0,9.14,107.21,1,palm,direct,-1.0000,-1.0000,high
218113.8153,0,756.00,491.00,756.00,491.00,,0,10.00,105.27,1,palm,direct,-1.0000,-1.0000,high
218113.8487,0,756.00,491.00,756.00,491.00,,0,12.50,108.02,1,palm,direct,-1.0000,-1.0000,high
218113.8820,0,756.00,491.00,756.00,491.00,,0,21.83,114.87,1,palm,direct,-1.0000,-1.0000,high
218113.9154,0,756.00,491.00,756.00,491.00,,0,15.55,112.36,1,palm,direct,-1.0000,-1.0000,high
218113.9487,0,756.00,491.00,756.00,491.00,,0,25.52,117.97,1,palm,direct,-1.0000,-1.0000,high
218113.9821,0,756.00,491.00,756.00,491.00,,0,19.67,113.78,1,palm,direct,-1.0000,-1.0000,high
218114.0154,0,756.00,491.00,756.00,491.00,,0,17.64,107.96,1,palm,direct,-1.0000,-1.0000,high
218114.0488,0,756.00,491.00,756.00,491.00,,0,20.19,117.00,1,palm,direct,-1.0000,-1.0000,high
218114.0821,0,756.00,491.00,756.00,491.00,,0,30.59,117.65,1,palm,direct,-1.0000,-1.0000,high
218114.1155,0,756.00,491.00,756.00,491.00,,0,23.20,108.78,1,palm,direct,-1.0000,-1.0000,high
218114.1488,0,756.00,491.00,756.00,491.00,,0,25.04,111.75,1,palm,direct,-1.0000,-1.0000,high
218114.1822,0,756.00,491.00,756.00,491.00,,0,29.10,116.80,1,palm,direct,-1.0000,-1.0000,high
218114.2155,0,756.00,491.00,756.00,491.00,,0,30.86,114.43,1,palm,direct,-1.0000,-1.0000,high
218114.2489,0,756.00,491.00,756.00,491.00,,0,31.90,117.28,1,palm,direct,-1.0000,-1.0000,high
218114.2822,0,756.00,491.00,756.00,491.00,,0,25.55,110.15,1,palm,direct,-1.0000,-1.0000,high
218114.3156,0,756.00,491.00,756.00,491.00,,0,8.28,88.80,1,palm,direct,-1.0000,-1.0000,high
218114.3489,0,756.00,491.00,756.00,491.00,,0,76.41,156.69,1,palm,direct,-1.0000,-1.0000,high
218114.3823,0,756.00,491.00,756.00,491.00,,0,14.69,138.26,1,palm,direct,-1.0000,-1.0000,high
218114.4156,0,756.00,491.00,756.00,491.00,,0,16.15,121.23,1,palm,direct,-1.0000,-1.0000,high
218114.4490,0,756.00,491.00,756.00,491.00,,0,12.98,117.34,1,palm,direct,-1.0000,-1.0000,high
218114.4823,0,756.00,491.00,756.00,491.00,,0,9.95,115.73,1,palm,direct,-1.0000,-1.0000,high
218114.5157,0,756.00,491.00,756.00,491.00,,0,13.52,116.84,1,palm,direct,-1.0000,-1.0000,high
218114.5490,0,756.00,491.00,756.00,491.00,,0,11.09,117.69,1,palm,direct,-1.0000,-1.0000,high
218114.5824,0,756.00,491.00,756.00,491.00,,0,33.79,137.86,1,palm,direct,-1.0000,-1.0000,high
218114.6157,0,756.00,491.00,756.00,491.00,,0,12.05,120.43,1,palm,direct,-1.0000,-1.0000,high
218114.6491,0,756.00,491.00,756.00,491.00,,0,14.17,118.08,1,palm,direct,-1.0000,-1.0000,high
218114.6824,0,756.00,491.00,756.00,491.00,,0,22.39,129.38,1,palm,direct,-1.0000,-1.0000,high
218114.7158,0,756.00,491.00,756.00,491.00,,0,13.38,119.01,1,palm,direct,-1.0000,-1.0000,high
218114.7491,0,756.00,491.00,756.00,491.00,,0,35.97,141.67,1,palm,direct,-1.0000,-1.0000,high
218114.7825,0,756.00,491.00,756.00,491.00,,0,10.04,118.62,1,palm,direct,-1.0000,-1.0000,high
218114.8158,0,756.00,491.00,756.00,491.00,,0,12.48,116.41,1,palm,direct,-1.0000,-1.0000,high
218114.8492,0,756.00,491.00,756.00,491.00,,0,14.37,120.02,1,palm,direct,-1.0000,-1.0000,high
218114.8825,0,756.00,491.00,756.00,491.00,,0,15.07,116.32,1,palm,direct,-1.0000,-1.0000,high
218114.9159,0,756.00,491.00,756.00,491.00,,0,42.91,147.91,1,palm,direct,-1.0000,-1.0000,high
218114.9492,0,756.00,491.00,756.00,491.00,,0,31.54,146.27,1,palm,direct,-1.0000,-1.0000,high
